Please note that (-9999) indicates a null value
Temperature (soilTemp) [degC]

DateTime,LEOMINI_1_0_1_5TM,LEOMINI_1_0_2_5TM,LEOMINI_1_0_3_5TM,LEOMINI_1_0_4_5TM,LEOMINI_1_0_5_5TM,LEOMINI_2_0_1_5TM,LEOMINI_2_0_2_5TM,LEOMINI_2_0_3_5TM,LEOMINI_2_0_4_5TM,LEOMINI_2_0_5_5TM,LEOMINI_0_0_1_5TM,LEOMINI_0_0_2_5TM,LEOMINI_0_0_3_5TM,LEOMINI_0_0_4_5TM,LEOMINI_0_0_5_5TM
2018/06/14 00:00,23.2,-9999,24.8,25.8,26.5,22.7,24.6,25.3,25.9,26.3,-9999,-9999,24.3,25.5,26.1,
2018/06/14 00:01,23.1,-9999,24.8,25.8,26.5,22.7,24.6,25.3,25.9,26.3,-9999,-9999,24.3,25.5,26.1,
2018/06/14 00:02,23.1,-9999,24.8,25.8,26.5,22.8,24.7,25.3,25.9,26.3,-9999,-9999,24.3,25.5,26.1,
2018/06/14 00:03,23.1,-9999,24.8,25.8,26.5,22.8,24.7,25.3,25.9,26.3,-9999,-9999,24.3,25.5,26.1,
2018/06/14 00:04,23.2,-9999,24.8,25.8,26.5,22.8,24.6,25.3,25.9,26.3,-9999,-9999,24.2,25.5,26.1,
2018/06/14 00:05,23.1,-9999,24.8,25.8,26.5,22.8,24.6,25.3,25.9,26.3,-9999,-9999,24.3,25.5,26.1,
2018/06/14 00:06,23.2,-9999,24.8,25.8,26.5,22.8,24.6,25.3,25.9,26.3,-9999,-9999,24.2,25.5,26.1,
2018/06/14 00:07,23.2,-9999,24.8,25.8,26.5,22.8,24.6,25.3,25.9,26.3,-9999,-9999,24.3,25.5,26.1,
2018/06/14 00:08,23.2,-9999,24.8,25.8,26.5,22.8,24.6,25.3,25.9,26.3,-9999,-9999,24.2,25.5,26.1,
2018/06/14 00:09,23.2,-9999,24.8,25.8,26.5,22.8,24.6,25.3,25.9,26.3,-9999,-9999,24.3,25.5,26.1,
2018/06/14 00:10,23.2,-9999,24.8,25.7,26.5,22.8,24.6,25.3,25.9,26.3,-9999,-9999,24.3,25.5,26.1,
2018/06/14 00:11,23.2,-9999,24.8,25.7,26.5,22.8,24.6,25.3,25.9,26.3,-9999,-9999,24.3,25.5,26.1,
2018/06/14 00:12,23.2,-9999,24.8,25.8,26.5,22.8,24.6,25.3,25.9,26.3,-9999,-9999,24.2,25.5,26.1,
2018/06/14 00:13,23.2,-9999,24.8,25.8,26.5,22.8,24.6,25.3,25.9,26.3,-9999,-9999,24.2,25.6,26.1,
2018/06/14 00:14,23.2,-9999,24.8,25.8,26.5,22.8,24.6,25.3,25.8,26.3,-9999,-9999,24.2,25.5,26.1,
2018/06/14 00:15,23.2,-9999,24.8,25.8,26.5,22.8,24.6,25.3,25.9,26.3,-9999,-9999,24.2,25.5,26.1,
2018/06/14 00:16,23.2,-9999,24.8,25.8,26.5,22.9,24.6,25.3,25.9,26.3,-9999,-9999,24.2,25.5,26.1,
2018/06/14 00:17,23.2,-9999,24.8,25.8,26.5,22.9,24.6,25.3,25.9,26.3,-9999,-9999,24.2,25.5,26.1,
2018/06/14 00:18,23.2,-9999,24.8,25.8,26.5,22.9,24.6,25.3,25.9,26.3,-9999,-9999,24.2,25.5,26.1,
2018/06/14 00:19,23.2,-9999,24.8,25.8,26.5,22.9,24.6,25.3,25.9,26.3,-9999,-9999,24.2,25.5,26.1,
2018/06/14 00:20,23.3,-9999,24.8,25.8,26.5,22.9,24.6,25.3,25.9,26.3,-9999,-9999,24.2,25.5,26.1,
2018/06/14 00:21,23.2,-9999,24.8,25.8,26.5,22.9,24.6,25.3,25.9,26.3,-9999,-9999,24.2,25.5,26.1,
2018/06/14 00:22,23.2,-9999,24.8,25.8,26.5,22.9,24.6,25.3,25.9,26.3,-9999,-9999,24.2,25.5,26.1,
2018/06/14 00:23,23.3,-9999,24.8,25.8,26.5,22.9,24.6,25.3,25.9,26.3,-9999,-9999,24.2,25.5,26,
2018/06/14 00:24,23.3,-9999,24.8,25.7,26.5,22.9,24.6,25.3,25.9,26.3,-9999,-9999,24.2,25.5,26.1,
2018/06/14 00:25,23.3,-9999,24.8,25.7,26.5,22.9,24.6,25.3,25.9,26.3,-9999,-9999,24.2,25.5,26.1,
